date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:28	122/122	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:28%20GMT	https://zoa-store-demo.myshopify.com/products/win-shirts?preview_theme_id=35615637577	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/products/win-shirts6709	(from https://zoa-store-demo.myshopify.com/)
20:39:28	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:28%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35618619465	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index1c90.html	(from https://zoa-store-demo.myshopify.com/)
20:39:28	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:28%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35619569737	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index9256.html	(from https://zoa-store-demo.myshopify.com/)
20:39:28	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:29%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35620749385	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/indexf06f.html	(from https://zoa-store-demo.myshopify.com/)
20:39:29	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:29%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35622256713	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index2d24.html	(from https://zoa-store-demo.myshopify.com/)
20:39:29	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:29%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35621077065	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index2c4c.html	(from https://zoa-store-demo.myshopify.com/)
20:39:29	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:29%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35624026185	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index9d0a.html	(from https://zoa-store-demo.myshopify.com/)
20:39:30	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:30%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=35623403593	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index9988.html	(from https://zoa-store-demo.myshopify.com/)
20:39:30	103/103	---MC-	302	error ('Found')	text/html	date:Fri,%2019%20Oct%202018%2016:39:30%20GMT	https://zoa-store-demo.myshopify.com/?preview_theme_id=39327662153	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index18af.html	(from https://zoa-store-demo.myshopify.com/)
20:39:32	143350/143350	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Oct%202018%2016:39:30%20GMT	https://zoa-store-demo.myshopify.com/products/win-shirts	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/products/win-shirts.html	(from https://zoa-store-demo.myshopify.com/)
